,label,RMSE,MAE,MAPE,MASE
0,C1027 AS27133_SARIMA,20.02,17.77,inf,0.6
1,C1027 AS27133_Holt-Winters 3,28.53,23.3,inf,0.78
2,C1027 AS27133_FB Prophet,47.55,42.33,inf,1.42
0,C1027 AS27134_SARIMA,21.56,13.79,inf,0.38
1,C1027 AS27134_Holt-Winters 3,15.3,11.57,inf,0.32
2,C1027 AS27134_FB Prophet,50.52,45.25,inf,1.24
2,C1027 AS27137_FB Prophet,6.86,5.93,62.83,1.42
0,C1027 AS27138_SARIMA,7.33,4.68,38.71,1.5
1,C1028 AS27000_Holt-Winters 3,12.08,7.83,99.13,0.38
0,C1028 AS27132_SARIMA,1.49,1.12,inf,0.65
1,C1028 AS27132_Holt-Winters 3,0.74,0.36,inf,0.21
2,C1028 AS27132_FB Prophet,0.97,0.88,inf,0.51
0,C1028 AS27133_SARIMA,25.46,22.45,inf,1.3
1,C1028 AS27133_Holt-Winters 3,15.44,12.33,inf,0.71
2,C1028 AS27133_FB Prophet,32.34,28.93,inf,1.67
0,C1028 AS27134_SARIMA,8.0,6.71,inf,0.5
1,C1028 AS27134_Holt-Winters 3,11.46,6.97,inf,0.52
2,C1028 AS27134_FB Prophet,24.95,20.29,inf,1.53
1,C1028 AS27137_Holt-Winters 3,1.57,1.44,48.22,0.65
1,C1028 AS27138_Holt-Winters 3,2.88,1.85,57.88,8.47
0,C1028 AS27139_SARIMA,0.12,0.06,inf,0.06
1,C1028 AS27139_Holt-Winters 3,0.03,0.03,inf,0.03
2,C1028 AS27139_FB Prophet,2.65,2.3,inf,1.98
1,C1029 AS27000_Holt-Winters 3,8.04,7.47,31.99,0.6
0,C1029 AS27132_SARIMA,2.03,1.5,inf,0.56
1,C1029 AS27132_Holt-Winters 3,1.1,0.75,inf,0.28
2,C1029 AS27132_FB Prophet,3.75,2.93,inf,1.1
0,C1029 AS27133_SARIMA,29.98,26.44,34.03,1.0
0,C1029 AS27134_SARIMA,43.45,31.61,inf,0.72
1,C1029 AS27134_Holt-Winters 3,27.46,21.76,inf,0.5
2,C1029 AS27134_FB Prophet,151.07,143.84,inf,3.27
0,C1029 AS27137_SARIMA,4.24,3.04,inf,0.95
1,C1029 AS27137_Holt-Winters 3,4.35,2.51,inf,0.79
2,C1029 AS27137_FB Prophet,10.45,9.17,inf,2.88
0,C1029 AS27138_SARIMA,3.74,2.54,inf,0.82
1,C1029 AS27138_Holt-Winters 3,15.83,14.85,inf,4.8
2,C1029 AS27138_FB Prophet,5.57,4.55,inf,1.47
2,C1029 AS27139_FB Prophet,0.6,0.46,inf,7.38
0,C1029 AS46000_SARIMA,21.65,16.67,inf,1.13
1,C1029 AS46000_Holt-Winters 3,12.93,4.46,inf,0.3
2,C1029 AS46000_FB Prophet,29.64,25.9,inf,1.76
0,C1030 AS27000_SARIMA,41.72,33.42,71.04,0.66
0,C1030 AS27132_SARIMA,5.83,5.18,inf,0.42
1,C1030 AS27132_Holt-Winters 3,7.88,5.82,inf,0.47
2,C1030 AS27132_FB Prophet,29.07,21.42,inf,1.73
0,C1030 AS27133_SARIMA,13.46,12.51,inf,0.63
1,C1030 AS27133_Holt-Winters 3,9.66,8.46,inf,0.43
2,C1030 AS27133_FB Prophet,27.98,22.67,inf,1.15
0,C1030 AS27134_SARIMA,2.24,1.8,inf,0.45
1,C1030 AS27134_Holt-Winters 3,2.13,2.07,inf,0.52
2,C1030 AS27134_FB Prophet,18.04,14.07,inf,3.52
0,C1030 AS27137_SARIMA,5.28,4.42,inf,0.64
1,C1030 AS27137_Holt-Winters 3,4.37,2.62,inf,0.38
2,C1030 AS27137_FB Prophet,18.29,13.53,inf,1.97
0,C1030 AS27138_SARIMA,10.01,6.73,inf,inf
0,C1030 AS42018_SARIMA,0.03,0.03,inf,0.09
2,C1030 AS42018_FB Prophet,1.34,0.95,inf,2.53
0,C1034 AS27000_SARIMA,10.73,9.98,31.46,1.97
0,C1034 AS27132_SARIMA,3.2,2.56,inf,0.38
1,C1034 AS27132_Holt-Winters 3,4.61,3.99,inf,0.59
2,C1034 AS27132_FB Prophet,15.43,13.31,inf,1.96
0,C1034 AS27133_SARIMA,30.22,27.7,inf,14.53
1,C1034 AS27133_Holt-Winters 3,52.21,44.53,inf,23.36
2,C1034 AS27133_FB Prophet,52.44,41.14,inf,21.58
0,C1034 AS27134_SARIMA,20.71,15.98,inf,2.13
1,C1034 AS27134_Holt-Winters 3,37.33,29.82,inf,3.98
2,C1034 AS27134_FB Prophet,30.17,21.51,inf,2.87
0,C1034 AS27138_SARIMA,2.35,0.89,inf,inf
0,C1035 AS27000_SARIMA,7.93,7.43,inf,1.34
1,C1035 AS27000_Holt-Winters 3,6.66,5.21,inf,0.94
2,C1035 AS27000_FB Prophet,13.58,10.9,inf,1.96
0,C1035 AS27132_SARIMA,2.11,1.89,inf,0.54
1,C1035 AS27132_Holt-Winters 3,0.17,0.14,inf,0.04
2,C1035 AS27132_FB Prophet,3.62,3.19,inf,0.9
0,C1035 AS27133_SARIMA,36.79,27.43,inf,2.07
1,C1035 AS27133_Holt-Winters 3,249.68,189.36,inf,14.32
2,C1035 AS27133_FB Prophet,51.88,35.42,inf,2.68
0,C1035 AS27134_SARIMA,7.24,4.68,inf,0.24
1,C1035 AS27134_Holt-Winters 3,2.29,1.49,inf,0.08
2,C1035 AS27134_FB Prophet,21.37,18.18,inf,0.92
0,C1035 AS27137_SARIMA,2.67,2.03,inf,1.76
1,C1035 AS27137_Holt-Winters 3,3.4,1.37,inf,1.18
2,C1035 AS27137_FB Prophet,3.98,3.33,inf,2.88
0,C1035 AS27138_SARIMA,2.34,1.65,inf,3.78
1,C1035 AS27138_Holt-Winters 3,3.66,2.78,inf,6.36
2,C1035 AS27138_FB Prophet,3.4,2.4,inf,5.49
0,C1035 AS46000_SARIMA,15.93,14.28,inf,2.07
1,C1035 AS46000_Holt-Winters 3,11.8,9.47,inf,1.37
2,C1035 AS46000_FB Prophet,26.85,22.81,inf,3.3
0,C1051 AS27000_SARIMA,24.9,23.17,inf,1.42
1,C1051 AS27000_Holt-Winters 3,21.32,20.19,inf,1.24
2,C1051 AS27000_FB Prophet,36.81,33.35,inf,2.04
0,C1051 AS27132_SARIMA,1.67,0.59,inf,inf
0,C1051 AS27133_SARIMA,18.34,13.28,inf,3.48
1,C1051 AS27133_Holt-Winters 3,108734.07,36491.02,inf,9571.42
2,C1051 AS27133_FB Prophet,27.6,23.63,inf,6.2
0,C1051 AS27134_SARIMA,21.84,17.63,inf,2.55
1,C1051 AS27134_Holt-Winters 3,28.5,21.1,inf,3.05
2,C1051 AS27134_FB Prophet,34.67,28.0,inf,4.05
0,C1051 AS27137_SARIMA,3.63,2.39,inf,inf
1,C1051 AS27137_Holt-Winters 3,3.72,2.14,inf,inf
0,C1051 AS27138_SARIMA,1.59,1.02,inf,inf
0,C1054 AS27000_SARIMA,39.02,31.22,40.55,0.62
0,C1054 AS27132_SARIMA,14.07,10.76,inf,0.53
1,C1054 AS27132_Holt-Winters 3,10.45,6.41,inf,0.31
2,C1054 AS27132_FB Prophet,38.76,29.49,inf,1.44
0,C1054 AS27133_SARIMA,30.19,25.15,inf,1.76
1,C1054 AS27133_Holt-Winters 3,31.01,22.95,inf,1.61
2,C1054 AS27133_FB Prophet,50.3,35.85,inf,2.52
0,C1054 AS27134_SARIMA,20.34,16.01,inf,0.86
1,C1054 AS27134_Holt-Winters 3,12.65,4.26,inf,0.23
2,C1054 AS27134_FB Prophet,65.02,49.17,inf,2.65
0,C1054 AS27137_SARIMA,24.89,18.9,inf,1.92
1,C1054 AS27137_Holt-Winters 3,28.55,19.87,inf,2.02
2,C1054 AS27137_FB Prophet,27.57,21.45,inf,2.18
